1. GF-EIM-IT-0024-2025 RECOMENDACIÓN TECNICA PARAISO  ACEPTACIÓN 2.pdf | Trata de: GF-EIM-IT-0024-2025 RECOMENDACIÓN TECNICA PARAISO  ACEPTACIÓN 2.pdf | Antecedente: 1 ANTECEDENTES N/A
2. GF-EIM-RT-0006-2025  AVALUO Y REC. TECNICA DE LOCAL SUCURSAL POÁS.pdf | Trata de: ESTUDIO DE AVALUO Y RECOMENDACIÓN TECNICA PARA VALORACIÓN DE | Antecedente: 2. Documento de Referencia: Por medio de SICOP se realiza una publicación sobre la moda-
3. ESPECIFICACIONES TECNICAS PARA MEJORAS EN SUCURSAL DE PALMAR NORTE MVM ACTUALES.pdf | Trata de: ESPECIFICACIONES TECNICAS PARA MEJORAS EN SUCURSAL DE PALMAR NORTE MVM ACTUALES.pdf | Antecedente: No especificado
4. GF-EIM-IT-0001-2025  ESPECIFICACIONES TECNICAS PARA ARRENDAMIENTO DE LOCAL SUCURSAL DE NICOYA (2).pdf | Trata de: “Especificaciones técnicas para alquiler de posible local que albergue las | Antecedente: 1. ANTECEDENTES
5. GF-EIM-IT-0002-2025 RECOMENDACIÓN TECNICA SANTA ELENA  ACEPTACIÓN.pdf | Trata de: GF-EIM-IT-0002-2025 RECOMENDACIÓN TECNICA SANTA ELENA  ACEPTACIÓN.pdf | Antecedente: 1 ANTECEDENTES N/A
6. GF-EIM-IT-0003-2025-Sistema Hidroneumático Grecia.pdf | Trata de: Especificaciones Técnicas para Reparación y Mantenimiento del Sistema | Antecedente: No especificado
7. GF-EIM-IT-0004-2025  ESPECIFICACIONES TECNICAS PARA ADECUACIÓN DE LA NUEVA SUCURSAL DE SANTA ELENA.pdf | Trata de: Especificaciones Técnicas para adecuación de local de la nueva Sucur sal de | Antecedente: 1. ANTECEDENTES
8. GF-EIM-IT-0005-2025   ESPECIFICACIONES TECNICAS PARA ARRENDAMIENTO DE LOCAL SUCURSAL DE LIBERIA.pdf | Trata de: “ Especificaciones técnicas para alquiler de posible local que albergue las | Antecedente: 1. ANTECEDENTES
9. GF-EIM-IT-0006-2025 AVALUO PARA PROCESO PRESUPUESTARIO POAS.pdf | Trata de: Determinación del valor de bienes inmuebles como resultado del estudio | Antecedente: 2. Antecedentes:
10. GF-EIM-IT-0007-2025-Esp. Electrodomésticos.pdf | Trata de: Especificaciones Técnicas para compra de Electrodomésticos para | Antecedente: No especificado
11. GF-EIM-IT-0008-2025-Dar de Baja Activos-A.A. Naranjo.pdf | Trata de: Dar de Baja Aires Acondicionados en la Sucursal de Naranjo. | Antecedente: Antecedentes
12. GF-EIM-IT-0009-2025-Dar de Baja Activos-A.A. Naranjo 578272.pdf | Trata de: Dar de Baja Aire Acondicionado en la Sucursal de Naranjo. | Antecedente: Antecedentes
13. GF-EIM-IT-0010-2025-Dar de Baja Activos-Bagaces.pdf | Trata de: Dar de Baja Activos Electromecánicos en la Sucursal de Bagaces. | Antecedente: Antecedentes
14. GF-EIM-IT-0011-2025  RECEPCION DEFINITIVA GUATUSO.pdf | Trata de: Inspección para recepción definitiva de la obra – Procedimiento N° 2024LD- | Antecedente: No especificado
