year,category,signed,filename,path,relative_path,size_bytes,modified,sha256,pages,text_chars,page_text_chars,extract_error
2026,respuesta_inspeccion_recepcion,False,GF-EIM-IT-0025-2026-Visita 1 A.A. Suc. Turrialba.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2026\Informes TEC 2026 PDF\GF-EIM-IT-0025-2026-Visita 1 A.A. Suc. Turrialba.pdf,2026\Informes TEC 2026 PDF\GF-EIM-IT-0025-2026-Visita 1 A.A. Suc. Turrialba.pdf,343734,1778098380.0,7a79189e6daad6bccd12e1944bb3c424a702128cce30dc5476d585eeb6b958cc,2,4392,"[2411, 1972]",
2026,respuesta_inspeccion_recepcion,False,GF-EIM-N-0005-2026-Respuesta A.A. Santa Cruz.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2026\Notas 2026 PDF\GF-EIM-N-0005-2026-Respuesta A.A. Santa Cruz.pdf,2026\Notas 2026 PDF\GF-EIM-N-0005-2026-Respuesta A.A. Santa Cruz.pdf,362113,1768512798.0,7ef7cdf92db2780b8f65c8c4e00cdfb8287a4a91030bec0a7c9c22bfdd74ebc4,4,8974,"[2323, 2906, 2986, 735]",
2026,especificacion_compra_instalacion,False,GF-EIM-N-0032-2026 -Nota aclaratoria a Esp. Tec. Puriscal.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2026\Notas 2026 PDF\GF-EIM-N-0032-2026 -Nota aclaratoria a Esp. Tec. Puriscal.pdf,2026\Notas 2026 PDF\GF-EIM-N-0032-2026 -Nota aclaratoria a Esp. Tec. Puriscal.pdf,322193,1773879424.0,794796b2e3ba62e687d31fe19e99decd0311f5ad870ffbf71b37660dd09836b1,2,4925,"[2158, 2757]",
2025,especificacion_compra_instalacion,True,GF-EIM-IT-0019-2025---Esp. Tec. Aires Acondicionados-firmado.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2025\Informes TEC 2025 PDF\GF-EIM-IT-0019-2025---Esp. Tec. Aires Acondicionados-firmado.pdf,2025\Informes TEC 2025 PDF\GF-EIM-IT-0019-2025---Esp. Tec. Aires Acondicionados-firmado.pdf,532404,1748893567.0,fe94110d8e9acd359a979b3545e26c2ee814d9f51f13365592999e85e489c732,22,76004,"[3249, 4008, 3189, 3817, 3446, 3727, 2775, 3215, 3735, 3195, 3457, 3837, 3893, 4122, 3871, 3642, 3633, 3921, 3513, 2848, 2964, 1878]",
2025,especificacion_compra_instalacion,True,GF-EIM-IT-0031-2025---Esp. Tec. Aires Acondicionados-firmado.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2025\Informes TEC 2025 PDF\GF-EIM-IT-0031-2025---Esp. Tec. Aires Acondicionados-firmado.pdf,2025\Informes TEC 2025 PDF\GF-EIM-IT-0031-2025---Esp. Tec. Aires Acondicionados-firmado.pdf,585227,1755640551.0,12a14a6ec0425ab3ed29fdeaf3b41aff8938ed0ae742a0a36c78add44bad2551,23,78511,"[3251, 4008, 3189, 3817, 3446, 3727, 2675, 3054, 3640, 3011, 3376, 3706, 3875, 4082, 3813, 3786, 3465, 3992, 3290, 3446, 2245, 2883, 2659]",
2024,especificacion_compra_instalacion,True,GF-EIM-IT-0024-2024---Esp. Tec. Aires Acondicionados-firmado.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2024\Informes TEC 2024 PDF\GF-EIM-IT-0024-2024---Esp. Tec. Aires Acondicionados-firmado.pdf,2024\Informes TEC 2024 PDF\GF-EIM-IT-0024-2024---Esp. Tec. Aires Acondicionados-firmado.pdf,540101,1716322508.0,65fb7dd33d5d0fbd6938ff5e792d2fb0476186261fbcc3c44f5690abe2af1948,22,74749,"[3249, 4009, 3391, 3698, 3343, 3686, 2772, 3103, 3736, 3195, 3457, 3837, 3894, 4122, 3871, 3642, 3633, 3921, 3138, 2626, 2179, 2182]",
2024,especificacion_compra_instalacion,True,GF-EIM-IT-0053-2024---Esp. Tec. Aires Acondicionados-firmado.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2024\Informes TEC 2024 PDF\GF-EIM-IT-0053-2024---Esp. Tec. Aires Acondicionados-firmado.pdf,2024\Informes TEC 2024 PDF\GF-EIM-IT-0053-2024---Esp. Tec. Aires Acondicionados-firmado.pdf,516602,1727988061.0,04b62e7cbbcfa89786e03853191f19b7cc78336bedc0d254867384d9e91f01ae,22,74976,"[3255, 4010, 3391, 3698, 3343, 3686, 2772, 3105, 3735, 3195, 3457, 3837, 3894, 4122, 3871, 3642, 3633, 3921, 3150, 2707, 2742, 1741]",
2024,especificacion_compra_instalacion,False,GF-EIM-IT-0024-2024---Esp. Tec. Aires Acondicionados.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2024\Informes TEC 2024 PDF\GF-EIM-IT-0024-2024---Esp. Tec. Aires Acondicionados.pdf,2024\Informes TEC 2024 PDF\GF-EIM-IT-0024-2024---Esp. Tec. Aires Acondicionados.pdf,465603,1716500257.0,6260822e6c4e93309da05eb66d68ba416db97ff081dd417d7cfd683939a31039,22,74749,"[3249, 4009, 3391, 3698, 3343, 3686, 2772, 3103, 3736, 3195, 3457, 3837, 3894, 4122, 3871, 3642, 3633, 3921, 3138, 2626, 2179, 2182]",
2023,especificacion_compra_instalacion,True,GF-EIM-IT-0001-2023---Esp._Tec._AA_Norte-Firmado.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2023\Informes TEC 2023 PDF\GF-EIM-IT-0001-2023---Esp._Tec._AA_Norte-Firmado.pdf,2023\Informes TEC 2023 PDF\GF-EIM-IT-0001-2023---Esp._Tec._AA_Norte-Firmado.pdf,1194085,1675203027.0,30e26fae467b799d81855e240dcc3283ea5faef5f5dcfd79b015b2a841a0c321,28,71247,"[2607, 3899, 3243, 3932, 3557, 3328, 3155, 3824, 3900, 4151, 3780, 3617, 3457, 4024, 3325, 2462, 2207, 2166, 2076, 509, 599, 411, 524, 380, 443, 3204, 1918, 469]",
2023,especificacion_mantenimiento,True,GF-EIM-IT-0011-2023-Esp Téc Mante AA Central 17-05-2023-firmado.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2023\Informes TEC 2023 PDF\GF-EIM-IT-0011-2023-Esp Téc Mante AA Central 17-05-2023-firmado.pdf,2023\Informes TEC 2023 PDF\GF-EIM-IT-0011-2023-Esp Téc Mante AA Central 17-05-2023-firmado.pdf,686808,1684763446.0,a38d56218ebd3eb3f2174cf07bb43dc32785cfddc1f1c0a711657594d9306daa,26,77550,"[2322, 3413, 3000, 3508, 3199, 3677, 3874, 3689, 4167, 3526, 3774, 3730, 3516, 3723, 3292, 2846, 2285, 2130, 666, 2507, 1057, 3637, 2907, 1778, 3176, 1242]",
